MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201110,CONUS,35.55,64.45,45.91,30.05,18.80,4.06,2020-11-10,2020-11-16,1
20201103,CONUS,37.63,62.37,45.10,28.90,17.76,2.85,2020-11-03,2020-11-09,1
20201027,CONUS,35.58,64.42,46.08,29.85,18.02,2.82,2020-10-27,2020-11-02,1
20201020,CONUS,34.04,65.96,47.03,29.50,18.22,2.82,2020-10-20,2020-10-26,1
20201013,CONUS,35.18,64.82,46.75,29.86,16.84,2.07,2020-10-13,2020-10-19,1
20201006,CONUS,37.12,62.88,44.27,29.05,15.96,2.07,2020-10-06,2020-10-12,1
20200929,CONUS,38.05,61.95,42.59,27.37,14.63,1.20,2020-09-29,2020-10-05,1
20200922,CONUS,41.48,58.52,39.65,25.96,12.77,0.58,2020-09-22,2020-09-28,1
20200915,CONUS,42.48,57.52,38.87,25.12,11.54,0.43,2020-09-15,2020-09-21,1
20200908,CONUS,42.92,57.08,38.70,25.14,11.71,0.16,2020-09-08,2020-09-14,1
20200901,CONUS,42.54,57.46,39.41,24.75,8.61,0.10,2020-09-01,2020-09-07,1
20200825,CONUS,42.38,57.62,39.15,24.00,7.89,0.08,2020-08-25,2020-08-31,1
20200818,CONUS,45.99,54.01,36.65,20.11,4.40,0.03,2020-08-18,2020-08-24,1
20200811,CONUS,47.09,52.91,34.40,16.00,3.83,0.00,2020-08-11,2020-08-17,1
20200804,CONUS,45.99,54.01,33.47,15.17,3.15,0.00,2020-08-04,2020-08-10,1
20200728,CONUS,43.97,56.03,32.72,14.07,2.91,0.00,2020-07-28,2020-08-03,1
20200721,CONUS,44.37,55.63,31.39,12.28,2.60,0.00,2020-07-21,2020-07-27,1
20200714,CONUS,48.60,51.40,27.46,11.57,2.75,0.00,2020-07-14,2020-07-20,1
20200707,CONUS,51.49,48.51,25.77,10.98,2.35,0.00,2020-07-07,2020-07-13,1
20200630,CONUS,54.58,45.42,25.52,10.51,2.49,0.08,2020-06-30,2020-07-06,1
20200623,CONUS,55.26,44.74,25.45,9.85,2.28,0.00,2020-06-23,2020-06-29,1
20200616,CONUS,56.26,43.74,23.36,9.91,2.28,0.00,2020-06-16,2020-06-22,1
20200609,CONUS,61.38,38.62,21.28,8.42,1.79,0.00,2020-06-09,2020-06-15,1
20200602,CONUS,64.11,35.89,19.90,7.72,1.28,0.00,2020-06-02,2020-06-08,1
20200526,CONUS,65.65,34.35,18.51,7.18,1.24,0.00,2020-05-26,2020-06-01,1
20200519,CONUS,64.46,35.54,18.90,7.31,1.30,0.00,2020-05-19,2020-05-25,1
20200512,CONUS,65.69,34.31,17.42,7.10,1.21,0.00,2020-05-12,2020-05-18,1
20200505,CONUS,69.22,30.78,16.09,6.27,0.97,0.00,2020-05-05,2020-05-11,1
20200428,CONUS,71.30,28.70,14.75,5.65,0.46,0.00,2020-04-28,2020-05-04,1
20200421,CONUS,73.08,26.92,14.69,5.65,0.49,0.00,2020-04-21,2020-04-27,1
20200414,CONUS,74.42,25.58,14.53,4.34,0.16,0.01,2020-04-14,2020-04-20,1
20200407,CONUS,74.48,25.52,14.88,2.85,0.22,0.01,2020-04-07,2020-04-13,1
20200331,CONUS,74.79,25.21,14.54,3.04,0.48,0.03,2020-03-31,2020-04-06,1
20200324,CONUS,74.94,25.06,11.84,2.83,0.39,0.03,2020-03-24,2020-03-30,1
20200317,CONUS,75.09,24.91,12.60,2.90,0.61,0.03,2020-03-17,2020-03-23,1
20200310,CONUS,75.71,24.29,12.86,2.60,0.52,0.00,2020-03-10,2020-03-16,1
20200303,CONUS,76.21,23.79,11.52,2.51,0.52,0.00,2020-03-03,2020-03-09,1
20200225,CONUS,76.98,23.02,10.16,2.25,0.23,0.00,2020-02-25,2020-03-02,1
20200218,CONUS,76.49,23.51,9.56,2.49,0.23,0.00,2020-02-18,2020-02-24,1
20200211,CONUS,75.85,24.15,10.60,2.57,0.17,0.00,2020-02-11,2020-02-17,1
20200204,CONUS,74.30,25.70,10.61,2.46,0.07,0.00,2020-02-04,2020-02-10,1
20200128,CONUS,73.32,26.68,11.00,2.39,0.05,0.00,2020-01-28,2020-02-03,1
20200121,CONUS,75.13,24.87,11.47,3.38,0.07,0.00,2020-01-21,2020-01-27,1
20200114,CONUS,76.70,23.30,10.73,3.12,0.11,0.00,2020-01-14,2020-01-20,1
20200107,CONUS,75.94,24.06,11.19,3.22,0.12,0.00,2020-01-07,2020-01-13,1
20191231,CONUS,75.80,24.20,11.20,3.82,0.06,0.00,2019-12-31,2020-01-06,1
20191224,CONUS,74.37,25.63,12.30,4.18,0.10,0.00,2019-12-24,2019-12-30,1
20191217,CONUS,72.94,27.06,12.64,4.07,0.10,0.00,2019-12-17,2019-12-23,1
20191210,CONUS,72.04,27.96,11.11,4.45,0.10,0.00,2019-12-10,2019-12-16,1
20191203,CONUS,68.17,31.83,11.65,4.59,0.10,0.00,2019-12-03,2019-12-09,1
20191126,CONUS,67.06,32.94,14.10,5.72,0.19,0.00,2019-11-26,2019-12-02,1
20191119,CONUS,70.31,29.69,14.41,5.77,0.19,0.00,2019-11-19,2019-11-25,1
20191112,CONUS,70.09,29.91,14.67,5.88,0.05,0.00,2019-11-12,2019-11-18,1
